fold,feature,coefficient,abs_coefficient
Fold 1: Open 1 -> Open 2,team_b_recent3_series_played,-0.602249037072313,0.602249037072313
Fold 1: Open 1 -> Open 2,team_b_blast_coverage,-0.5640996831774724,0.5640996831774724
Fold 1: Open 1 -> Open 2,team_b_blast_players_with_stats,-0.5640996831774722,0.5640996831774722
Fold 1: Open 1 -> Open 2,is_playoff,0.5253034772638557,0.5253034772638557
Fold 1: Open 1 -> Open 2,diff_2024_demos_avg,0.49089365590154066,0.49089365590154066
Fold 1: Open 1 -> Open 2,diff_career_demos_avg,0.4573683534805954,0.4573683534805954
Fold 1: Open 1 -> Open 2,diff_2024_assists_avg,0.44727363775722784,0.44727363775722784
Fold 1: Open 1 -> Open 2,team_a_blast_players_with_stats,0.3928233694215857,0.3928233694215857
Fold 1: Open 1 -> Open 2,team_a_blast_coverage,0.3928233694215857,0.3928233694215857
Fold 1: Open 1 -> Open 2,diff_prior_series_played,0.38613335758072975,0.38613335758072975
Fold 1: Open 1 -> Open 2,diff_2024_games,0.37129700261771137,0.37129700261771137
Fold 1: Open 1 -> Open 2,diff_career_assists_avg,0.33529845451173484,0.33529845451173484
Fold 1: Open 1 -> Open 2,diff_2024_rating,0.32798116280357903,0.32798116280357903
Fold 1: Open 1 -> Open 2,diff_2024_win_pct,0.3266118260164111,0.3266118260164111
Fold 1: Open 1 -> Open 2,diff_career_win_pct,0.31021071616347135,0.31021071616347135
Fold 1: Open 1 -> Open 2,diff_career_rating,0.296635729200515,0.296635729200515
Fold 1: Open 1 -> Open 2,diff_2024_score_avg,0.28074707404403404,0.28074707404403404
Fold 1: Open 1 -> Open 2,diff_recent3_series_win_rate,0.2755614084864016,0.2755614084864016
Fold 1: Open 1 -> Open 2,diff_recent3_avg_game_win_rate,0.25349650072414825,0.25349650072414825
Fold 1: Open 1 -> Open 2,team_a_recent5_series_played,0.23412649382520967,0.23412649382520967
Fold 1: Open 1 -> Open 2,diff_recent5_series_win_rate,0.17910713350997945,0.17910713350997945
Fold 1: Open 1 -> Open 2,diff_prior_series_win_rate,0.17522825766166691,0.17522825766166691
Fold 1: Open 1 -> Open 2,team_a_prior_series_played,0.17354251359754744,0.17354251359754744
Fold 1: Open 1 -> Open 2,diff_2024_shots_avg,-0.17081816313099313,0.17081816313099313
Fold 1: Open 1 -> Open 2,team_a_recent3_series_played,-0.165530283246402,0.165530283246402
Fold 1: Open 1 -> Open 2,diff_2024_saves_avg,0.14714150268879825,0.14714150268879825
Fold 1: Open 1 -> Open 2,team_b_recent5_series_played,-0.09729338053734965,0.09729338053734965
Fold 1: Open 1 -> Open 2,diff_career_score_avg,0.09377540200077379,0.09377540200077379
Fold 1: Open 1 -> Open 2,diff_recent5_avg_game_win_rate,-0.08787394182805248,0.08787394182805248
Fold 1: Open 1 -> Open 2,team_b_prior_series_played,-0.08472712293875466,0.08472712293875466
Fold 1: Open 1 -> Open 2,diff_prior_game_win_rate,0.08346844162687575,0.08346844162687575
Fold 1: Open 1 -> Open 2,diff_prior_series_win_streak,-0.061318988592031415,0.061318988592031415
Fold 1: Open 1 -> Open 2,diff_career_saves_avg,0.05304649777461239,0.05304649777461239
